Version	Compound	Formula	State of Matter	First Release	Nicknames	Notes	Uses
1.0.0	Magnesium Carbonate	MgCO3	Liquid		Athlete's chalk		Often sold as a powder in sporting goods stores for gymnastics, weightlifting, and climbing to help keep hands dry. Sometimes it is combined with calcium carbonate in this use. Available in tablet form as an antacid. Some antacids are pure while others are blended with calcium carbonate.
1.0.0	Magnesium Chloride	MgCl2	Liquid		Nigari or Lushui		Asian markets; Nigari, as it's called in Japan, or Lushui, as it's called in China. Used to make tofu from soy milk.
1.0.0	Magnesium Hydroxide	Mg(OH)2	Liquid		Milk of Magnesia		Milk of Magnesia is an antacid used to settle sour (acidic) stomachs. Some antacid tablets also contain magnesium hydroxide.
1.0.0	Magnesium Silicate	Mg3Si4O10(OH)2	Liquid		Talc		Talcum powder comes from talc, the softest of all minerals, and is used as a dusting powder for babies. It is available in the body care section of the drug store.
1.0.0	Magnesium Sulfate	MgSO47H2O	Liquid		Epsom Salt		Drug store; epsom salt is sold as a laxative or as an anti-inflammatory soak. Also available as a chemical for photographic development.
1.0.0	Manganese Dioxide	MnO2	Liquid		Pyrolusite		Hardware store; available as the black powder in unused alkaline or carbon-zinc batteries. By extensively washing this powder in distilled water you can remove the embedded Zinc Chloride solution.
1.0.0	Melamine		Liquid				
1.0.0	Melamine Formaldehyde		Liquid				
1.0.0	Mercaptans	Short Thiols	Liquid				
1.0.0	m-mercaptan	CH3SH	Liquid		Methanethiol		
1.0.0	e-mercaptan	C2H5SH	Liquid		Ethanethiol		
1.0.0	n-p mercaptan	C3H7SH	Liquid		1-Propanethiol		
1.0.0	2C3 mercaptan	CH3CH(SH)CH3	Liquid		2-Propanethiol		
1.0.0	n-butyl mercaptan	C4H9SH	Liquid		Butanethiol		
1.0.0	t-butyl mercaptan	C(CH3)3SH	Liquid		tert-Butyl mercaptan		
1.0.0	pentyl mercaptan	C5H11SH	Liquid		Pentanethiol		
1.0.0	Mercury (Liquid)	Hg	Liquid		quicksilver		Becoming difficult to find due to fears of toxicity and environmental contamination. Old mercury switches can be found in many thermostats. Old-style thermometers contain mercury. Fluorescent light tubes contain a small amount of mercury though it can be difficult to extract. Specialty occult stores may carry it as quicksilver. Ben-Wha balls at sex toy shops.
1.0.0	Meta-Xylene	C8H10	Liquid				
1.0.0	Methacrylic Acid	C4H6O2	Liquid		2-methylpropenoic acid		
1.0.0	Methyl Methacrylate		Liquid				
1.0.0	Methane	CH4	Gas		Natural Gas		Gas line in many homes.
1.0.0	Methanol	CH3OH	Liquid		Methyl Alcohol		Methanol is sold as a solvent in paint supply stores under the names wood alcohol or methyl alcohol. Available from automotive supply as a gasoline line anti-freeze.
1.0.0	Methyl Ethyl Ketone	CH3COC2H5	Liquid		MEK		Available from most hardware stores as a solvent.
1.0.0	Methyl Ethyl Ketone Peroxide	C8H16O4	Liquid		MEKP		Available in dilute solution from hardware and boating supply stores as a catalyst for the polymerization of polyester resins.
1.0.0	Methyl Isobutyl Ketone	CH3COCH2CH(CH3)2	Liquid		MIBK		Available from many hardware stores as a solvent.
1.0.0	Methyl Salicylate	C6H4(OH)COOCH3	Liquid		Oil of Wintergreen		Drug store
1.0.0	Methylene Blue	C16H18ClN3S	Liquid		Methidote		Methylene blue (Methidote antiseptic) is used to treat small injured fish and is available at pet stores.
1.0.0	Methylene Chloride	CH2Cl2	Liquid		dichloromethane		Used as a solvent, degreaser and adhesive remover, it is available from hardware, automotive, and sometimes craft stores. Purity of commercial products can approach 90% with the remainder being composed of alcohols and petroleum distillates. Common brands include Champion Paint Off, many choke and valve cleaners, and Klean Strip Graffiti Remover.
1.0.0	Mineral Oil	complex mixture of hydrocarbons	Liquid		—		Mineral oil is sold in drug stores as an emollient. Some baby oils are essentially mineral oil and fragrance.
1.0.0	Molasses		Liquid				
1.0.0	Monosodium Glutamate	C5H8NNaO4	Liquid		MSG		Widely used as a condiment in many parts of Asia. Can be purchased from Chinese or Japanese grocery stores. Also easily acquired in many supermarkets as a flavor enhancer.
1.0.0	N-Butane	C4H10	Liquid	TRUE			
1.0.0	N-Ethylidenecyclohexylamine		Liquid				
1.0.0	N-Hexane	C6H14	Liquid	TRUE			
1.0.0	N-Pentane	C5H12	Liquid	TRUE			
1.0.0	Naphtha	Complex	Liquid				
1.0.0	Naphthalene	C10H8	Liquid		moth balls		Hardware store, grocery store.
1.0.0	Naphthalenedicarboxylic Acid		Liquid				
1.0.0	Natural Gas		Gas				
1.0.0	NeoPentane	C5H12	Liquid	TRUE			
	Nitrogen Gas	N2	Gas		liquid nitrogen		Hospital, laboratory, university, welding supply house, and industrial gas supplier can all provide liquid or gaseous nitrogen.
1.0.0	Nitrous Oxide	N2O	Liquid		whipping gas,laughing gas		Whipped cream canisters from the grocery store. Or in larger canisters from commercial restaurant supply houses. When packaged for automotive use it is usually contaminated with hydrogen sulfide to discourage inhalation. Industrial (welding supply) Nitrous Oxide contains NO and NO2 (can be removed with moist steel wool)which makes Nitric acid in your lungs so use with good ventilation. (Heating Ammonium Nitrate generates an industrial grade of Nitrous Oxide at the risk of explosion.)
1.0.0	Olefins		Liquid				
1.0.0	Oleyl Alcohol	CH3(CH2)7-CH=CH-(CH2)8OH	Liquid		Fatty Alcohol, Oleyl alcohol, octadecenol, cis-9-octadecen-1-ol		surfactant, skin cream, moisturizer, shampoo
1.0.0	Ortho-Xylene		Liquid				
1.0.0	Oxalic Acid	C2H2O4	Liquid		rust remover, non-chlorine bleach powder cleanser		Grocery, drug, hardware stores. Bar Keeper's Friend.
	Oxygen Gas	O2	Gas		—		Portable welding oxygen tanks are available at welding shops and some hardware stores. Can be generated in small quantities from the electrolysisof water.
1.0.0	Para-Dichlorobenzene	C6H4Cl2	Liquid		moth flakes, moth crystals		Hardware or grocery store.
1.0.0	Para-Xylene		Liquid				
1.0.0	Paraffin	CnH2n+2 (n>19)	Liquid		—		Unless otherwise labeled, candle wax is made of paraffin. Some grocery stores sell paraffin as a sealant for home canning. Many arts and crafts stores sell paraffin for at-home candle makers. Vaseline brand is also paraffin, albeit with molecules that are slightly shorter.
1.0.0	Pentane Isomers	C5H12	Liquid	TRUE			Used as refrigerant, blowing agent for making styrofoam, working fluid in geothermal stations
1.0.0	Peracetic Acid		Liquid				
1.0.0	Phenol	C6H5OH	Liquid		—		Phenol can be found in small amounts (~1–2%) in analgesic sore throat spray.
1.0.0	Phenol Formaldehyde		Liquid				
1.0.0	Phenol Red	C19H19SO5	Liquid		phenolsulfonephthalein		Used as a pH tester for swimming pools. Available at swimming pool supply stores.
1.0.0	Phenolphthalein	C20H14O4	Liquid		—		Magic shops might carry it as a pinkish disappearing ink. Blue disappearing ink is not phenolphthalein but thymolphthalein. Difficult to find outside of chemical supply.
1.0.0	Phosgene		Liquid				
1.0.0	Phosphoric Acid	H3PO4	Liquid		pH Down		Some pH reducers (available at pet stores) used in fish tanks are simply dilute solutions (up to 30%) of phosphoric acid. Also available in gel form at hardware stores as a rust remover. Naval Jelly in a spray bottle at hardware stores. Also used as asolder flux.
1.0.0	Potassium Aluminium Sulfate	KAl(SO4)2·12H2O	Solid		Alum, aluminium potassium sulfate		It is used as an astringent to shrinkmucous membranes. Some styptic pencils use it in their formulation. Often sold as a deodorant stone at natural health stores. Also available as a mordant for clothing dyes (RIT brand and others).
1.0.0	Potassium Bitartrate	KHC4H4O6	Solid		Cream of Tartar		Cream of Tartar is available at the grocery store and is used to stabilize delicate foods like meringue toppings and other baked egg-white products.
1.0.0	Potassium Bromide	KBr	Solid		—		Photography store catering to the at-home darkroom crowd.
1.0.0	Potassium Carbonate	K2CO3	Solid		Potash		Available at some garden supply and agricultural stores.
1.0.0	Potassium Chloride	KCl	Solid		Salt substitute		Available as a salt substitute by people who must limit their sodium intake, and is available at most supermarkets. Also available in larger, though slightly less pure, quantities as a road salt de-icer.
1.0.0	Potassium Chromium Sulfate	KCr(SO4)2·12H20	Solid		potassium chrome alum		Photography store catering to the at-home darkroom crowd.
1.0.0	Potassium Dichromate	K2Cr2O7	Solid		—		Photography store catering to the at-home darkroom crowd. Also used as a mordant (Chrome Mordant) for textiles and may be available at a dyeing and fabric store.
1.0.0	Potassium Hydroxide	KOH	Solid		Caustic potash		Available at some ceramic supply houses and from arts and crafts stores for soap making. Difficult to find. May be the active ingredient in some drain cleaning solutions. Kodak SII Activator is 10% Potassium Hydroxide with various sulfites and bromides in the mixture. Veterinary supply houses may carry it for dissolving hair and horns in animals.
1.0.0	Potassium Iodide	KI	Solid		Radiation Pills		Available sometimes as a photographic development chemical. Also from outdoor/survivalist stores in pill form to avoid the uptake of radioactive iodine during a nuclear accident.
1.0.0	Potassium Iron (II) Hexacyanoferrate(III)	KFe[Fe(CN)6]	Solid		potassium iron ferricyanide, potassium ferroferricyanide		Mrs. Stewart's liquid laundry bluing is used to whiten clothes and may be found in the detergents section of the supermarket.
1.0.0	Potassium Metabisulfite	K2S3O5	Solid		Campden tablets		Used as a sterilizing agent in winemaking and brewing processes. Sold as tablets which may be pure, blended with sodium metabisulfite, or contain only sodium metabisulfite.
1.0.0	Potassium Nitrate	KNO3	Solid		Saltpeter, saltpetre		Supermarket; saltpeter or quick salt is used to cure home-made sausagesand corned beef. May be available at independent butcher shops.
1.0.0	Potassium Permanganate	KMnO4	Solid		Clearwater		Clearwater is a solution of approximately 50% potassium permanganate and is used to remove odors and cloudiness from water to be used in aquariums and garden ponds. Also used to treat diseases in fish. Used as ~98% pure powder for treatment of hard well water in water softeners. Potassium Permanganate in a dilute solution form can also be found in certain fish water additive sometimes labelled as Gill, Fungus, Parasite's Special, One sure way to test is to put some onto your skin and leave it there for a while, then see if there's a brownish coloration/stain. The color of the solution is colored as normal permanganate in solution.
1.0.0	Potassium Phenoxide	KOC6H5	Solid				
1.0.0	Potassium Sodium Tartrate	NaKC4H4O6 * 4H2O	Solid		Rochelle salt		Drug store
1.0.0	Propane	C3H8	Gas		—		Gas barbecue fuel is generally made of propane and is available at many gasoline stations or picnic supply stores.
1.0.0	Propanol		Liquid				
1.0.0	Propylene	C3H6	Liquid		Propene		Precursor for made modern polymers
1.0.0	Silicon Carbide	SiC	Liquid		Carborundum		This hard, abrasive powder is often found sorted by particle size for use in sandblasting and industrial supply houses.
1.0.0	Silicon Dioxide	SiO2	Liquid		Sand, silica		Quartz sand is relatively pure silicon dioxide and is available at many building supply stores and also aquarium shops. Often found sorted by particle size for use in sandblasting. Micrometre sized particles are used as a filler in rubbers, plastics, and mold making materials and may be available in hobby shops as Min-u-Sil brand.
1.0.0	Sodium Acetate	NaC2H3O2	Liquid		Hand Warmer		Main ingredient in hand-warmers that are available at sporting goods stores. Can also be made through the reaction of baking soda and vinegar.
1.0.0	Sodium Bicarbonate	NaHCO3	Liquid		Baking Soda, Bicarbonate of Soda		Grocery baking section; single action baking soda
1.0.0	Sodium Bisulfate	NaHSO4	Liquid		pH Down		Pool supply store. Crystal Vanish drain cleaner.
1.0.0	Sodium Borate	Na2B4O710H2O	Liquid		—		The water can be driven off of grocery store Borax by heating to 200C to create pure sodium borate (although it will begin absorbing atmospheric moisture again when cooled and left in the open).
1.0.0	Sodium Bromide	NaBr	Liquid		Hot Tub Salt		Pool supply store
1.0.0	Sodium Carbonate	Na2CO3	Liquid		Washing soda,soda ash		Grocery; Arm & Hammer
1.0.0	Sodium Chlorate	NaClO3	Liquid		—		Available from gardening and agricultural stores. This herbicide is toxic to all green plants and, as such, is becoming less available as more selective herbicides some onto the market. Some brand names are Atlacide, Defol, Drop-Leaf, and Tumbleaf. Read product labeling to deduce the particular purity of any of these brands.
1.0.0	Sodium Chloride	NaCl	Liquid		Salt		Grocery; Table salt used in cooking is sodium chloride, usually with anti-caking agents such as magnesium carbonate. Iodized salt contains traces of sodium iodide.
1.0.0	Sodium Fluoride	NaF	Liquid		—		Used in toothpastes and mouthwashes to prevent cavities. Difficult to obtain in pure form. Most dental solutions contain a laundry list of inert ingredients to provide coloring, flavor, foaming, and other aesthetic properties.
1.0.0	Sodium Hexametaphosphate	(NaPO3)6	Liquid		Sodium polymetaphosphate,Calgon water softener		This water softener, surfactant and detergent is the primary ingredient in Calgon water softener. It is available at the grocery and hardware store. It is also known by other names including: glassy sodium, Graham's Salt, and hexasodium salt.
1.0.0	Sodium Hydroxide	NaOH	Liquid		Lye, Caustic Soda		Grocery, hardware; Known also as caustic soda and lye, sodium hydroxide is used in many commercial drain cleaners/openers.
1.0.0	Sodium Hypochlorite	NaClO	Liquid		Bleach		Household bleach is generally a 5% solution of sodium hypochlorite.
1.0.0	Sodium Metabisulfite	Na2S2O5	Liquid		Campden tablets		Used as a sterilizing agent in winemaking and brewing processes. Sold as tablets which may be pure, blended withpotassium metabisulfite, or contain onlypotassium metabisulfite.
1.0.0	Sodium Nitrate	NaNO3	Liquid		Chile saltpeter		Garden supply store
1.0.0	Sodium Percarbonate	2Na2CO3·3H2O2	Liquid		sodium carbonate peroxyhydrate		A combination of sodium carbonate and hydrogen peroxide in solution, this is often sold as a wood bleach for use on decks and outdoor wood furniture. Available at many hardware and home improvement stores. Sometimes referred to as oxygenated bleach.
1.0.0	Sodium Phenoxide	NaOC6H5	Liquid				
1.0.0	Sodium Phosphate	Na3PO4	Liquid		Tri Sodium Phosphate		Tri-sodium phosphate, commonly known as TSP, is available at hardware stores and is used to clean walls prior to painting.
1.0.0	Sodium Silicate	Na2SiO3, Na2Si3O7	Liquid		water glass, egg preserver, magic rocks		Can be found at some hardware stores and drug stores. Available from ceramic suppliers as a flocculent in clay slip casting. Non-phosphate TSP substitute. Liquid sold with muffler bandage at auto stores.
1.0.0	Sodium Sulfate	Na2SO4	Liquid		—		Photography store catering to the at-home darkroom crowd.
1.0.0	Sodium Sulfite	Na2SO3	Liquid		—		Photography store catering to the at-home darkroom crowd.
1.0.0	Sodium Tetraborate Decahydrate	Na2B4O710H2O	Liquid		Borax		Market, drug store; Borax, such asTwenty-Mule-Team Borax Laundry Booster.
1.0.0	Sodium Thiosulfate	Na2S2O3	Liquid		Hypo		Photographer's hypo is used in photograph development and is available at photography supply stores. Also available from pet shops as a de-chlorination additive to fish water.
1.0.0	Stearic Acid	C17H35CO2H	Liquid		candle hardener		Some arts and crafts stores will carry this item. It is used by do-it-yourself candle makers.
1.0.0	Stearyl Alcohol	CH3(CH2)16CH2OH	Liquid		Fatty Alcohol, Stearyl alcohol		lubricants, resins, perfumes and cosmetics. It is used as an emollient, emulsifier, and thickener in ointments of various sorts, and is widely used as a hair coating in shampoos
1.0.0	Styrene		Liquid				
1.0.0	Succinic Acid		Liquid				
1.0.0	Sucrose	C12H22O11	Liquid		Sugar		Grocery; Table sugar is available in large or small bags and in a variety of particle sizes.
1.0.0	Sulfuric Acid	H2SO4	Liquid		vitriol, oil of vitriol		Hardware store; battery acid. May also be obtained at some auto supply stores.
1.0.0	Sweet Butane Fuel		Gas				
1.0.0	Sweet Propane Fuel		Gas				
1.0.0	Sweet Light Naphtha		Liquid				
1.0.0	Tannic Acid	C76H52O46	Liquid		tannin		Arts and crafts store in the dyes and fabric section. Some photography stores and drug stores may carry it.
1.0.0	Tartaric Acid	C4H6O6	Liquid		wine preservative		Sold in wine-making supply stores and sometimes in the grocery store.
1.0.0	Terephthalic Acid	C6H4(COOH)2	Liquid				
1.0.0	Tetrachloroethylene	C2Cl4	Liquid		tetrachloroethene		The most common solvent for dry cleaning, it is available in aerosol form from hardware, auto supply, and home improvement stores. Brands like Lectra Motive Auto Care and Gummout Professional Brake Parts Cleaner contain as much as 99% with methylene chloride as the only major contaminant.
1.0.0	Tetraethylene Glycol	C8H18O5	Liquid				
1.0.0	Thiourea	CS(NH2)2	Liquid		Thiocarbamide		Many silver cleaning products including Hagerty and Tarn-X contain thiourea as the only active ingredient. Other brands may use other active compounds in combination.
1.0.0	Thymolphthalein	C28H30O4	Liquid		disappearing ink		It is the blue disappearing ink available at magic supply stores.
1.0.0	Titanium Dioxide	TiO2	Liquid		Titanium White		Available as a fine powder for use as a pure white pigment from fine art supply stores.
1.0.0	Toluene	C6H5CH3	Liquid		Methylbenzene,cellulose thinner		Available from most hardware stores as a solvent.
1.0.0	Toluene Diisocyanate		Liquid				
1.0.0	Town Gas		Gas		Nil.		A mixture mainly consists ofhydrogen,carbon monoxideandmethane. Available from households in urban area. Toxic and explosive. The carbon monoxide can be removed from the mixture by passing the gas through large quantity of citrated chicken blood.
1.0.0	Trichloroethylene	CHClCCl2	Liquid		trichloroethene		Available as a fairly pure aerosol from hardware and auto supply stores. Brand names include Lectra Clean and Trouble Free Rust Buster.
1.0.0	Triethylene Glycol	C6H14O4	Liquid		triglycol, TEG		HOCH2CH2OCH2CH2OCH2CH2OH
1.0.0	Trioxane		Liquid				
1.0.0	Turpentine	—	Liquid		—		Available at hardware stores and fine art supply stores.
1.0.0	Urea	H2NCONH2	Liquid		ice melter,fertilizer		Available at some hardware stores and at garden supply stores. Bonide Azalea fertilizer is 99% urea.
1.0.0	Urea Formaldehyde		Liquid				
1.0.0	Valerolactone		Liquid				
1.0.0	Vinyl Acetate	CH3CO2CHCH2	Liquid		Ethenyl acetate, Ethenyl ethanoate		
1.0.0	Vinyl Chloride	H2CHCl	Liquid				Precursor to PVC
1.0.0	Deionized Water	H2O	Liquid		—		Distilled (pure) water, is available in most grocery stores. This and deionized water are sufficient for most chemical reactions. Spring water or tap water have numerous minerals in solution. For certain, extremely sensitive experiments, contamination from plasticizers in the bottle may affect your reactions.
1.0.0	Xylene	C8H10	Liquid		dimethylbenzene		Available at hardware stores, paint stores, and fine art supply stores.
1.0.0	Zinc Chloride	ZnClf + H2O	Liquid		Tinner's Fluid, killed acid		Hardware store; used for cleaning copper.
1.0.0	Zinc Oxide	ZnO	Liquid		pompholyx		Found in opaque sunscreens for its UV opacity. Chinese White fine arts pigment is very pure.
1.0.0	Zinc Sulfate	ZnSO4	Liquid		zinc sulfate		Moss Killer for use on roofs and concrete. (Moss killer for grass lawns is Ferrous Ammonium Sulfate.)
1.0.0	Antimony Trioxide	SbO3	Liquid			Catalyst	
1.0.0	Copper II Chloride	CuCl2	Solid			Catalyst	
1.0.0	Iron III Chloride	FeCl3	Solid			Catalyst	
1.0.0	Iron III Oxide	Fe2O3	Solid			Catalyst	
1.0.0	Ziegler-Natta	Cp2Zr+−CH3	Solid			Catalyst	
1.0.0	Cobalt-Manganese-Bromide	CoMnBr4	Solid			Catalyst	
1.0.0	Zeolite	Na2Al2Si3O10	Solid			Catalyst	
1.0.0	Zinc II Chloride	ZnCl2	Solid			Catalyst	Lewis Acid
1.0.0	Tungsten VI Chloride 	WCl6	Solid			Catalyst	Lewis Acid
1.0.0	Samarium III Chloride	SmCl3	Solid			Catalyst	Lewis Acid
1.0.0	Magnesium Oxide		Solid				
1.0.0	Magnesium Sulfate	MgSO4	Solid			Catalyst	dehydrating agent
1.0.0	Copper II Sulfate	CuSO4	Solid			Catalyst	dehydrating agent
1.0.0	Calcium Hydride	CaH2	Solid			Catalyst	dehydrating agent
1.0.0	Phosphorus Pentoxide	PO5	Solid			Catalyst	dehydrating agent
1.0.0	Trimethyl Orthoformate	C4H10O3	Solid			Catalyst	dehydrating agent
1.0.0	Aluminoxane	(Al(CH3)O)n	Solid			Catalyst	
1.0.0	Sodium Hydroxide	NAOH	Solid			Catalyst	
1.0.0	Triethylaluminium	Al(C2H5)3	Solid			Catalyst	
1.0.0	Methyl Ethyl Ketone Peroxide	C8H16O4	Solid			Catalyst	
1.0.0	Fruit Brandy		Liquid				
1.0.0	Vodka		Liquid				
1.0.0	Gin		Liquid				
1.0.0	Tequila		Liquid				
1.0.0	Rum		Liquid				
1.0.0	Whiskey		Liquid				
1.0.0	Carrot Wine		Liquid				
1.0.0	Wine		Liquid				
1.0.0	Beer		Liquid				
1.0.0	Antifreeze		Liquid				
1.0.0	Chromia Alumina	Cr2O3-Al2O3	Solid			Catalyst	
1.0.0	Acrylonitrile	C3H3N	Liquid				
1.0.0	Acetonitrile	CH3CN	Liquid				
1.0.4	Sweet Kerosene	CnH2n+1(n=12–16)	Liquid				
1.0.4	Sweet Diesel		Liquid				
